ticker,date,side,spot,final,vol_rank_pct,credit,max_loss,pnl_per_spread
NVDA,2026-06-15,bull_put,212.46,199.93,0.885,122.15,377.85,-68.55
NVDA,2026-06-16,bear_call,207.37,197.54,0.913,116.36,383.64,116.36
NVDA,2026-06-17,bear_call,204.7,194.51,0.913,116.34,383.66,116.34
NVDA,2026-06-18,bull_put,210.38,195.59,0.94,126.43,373.57,-300.67
NVDA,2026-06-22,bear_call,208.59,196.97,0.933,118.28,381.72,118.28
NVDA,2026-06-23,bear_call,200.07,204.07,0.972,121.24,378.76,121.24
NVDA,2026-06-24,bear_call,198.94,202.69,0.972,121.14,378.86,121.14
NVDA,2026-06-25,bear_call,195.89,210.99,0.972,121.11,378.89,-378.89
NVDA,2026-06-26,bear_call,191.97,203.49,0.972,120.93,379.07,-70.72
NVDA,2026-06-29,bear_call,194.92,211.79,0.988,122.08,377.92,-377.92
NVDA,2026-06-30,bear_call,199.93,212.5,0.798,111.55,388.45,-145.8
NVDA,2026-07-01,bear_call,197.54,207.46,0.798,111.44,388.56,107.14
NVDA,2026-07-02,bear_call,194.51,202.8,0.754,107.78,392.22,107.78
NVDA,2026-07-06,bear_call,195.59,203.33,0.734,106.23,393.77,106.23
NVDA,2026-07-14,bull_put,211.79,197.05,0.746,113.45,386.55,-301.6
NVDA,2026-07-27,bear_call,196.56,217.49,0.73,106.37,393.63,-393.63
NVDA,2026-07-28,bear_call,197.05,217.45,0.714,105.55,394.45,-394.45
NVDA,2026-07-29,bear_call,190.1,224.11,0.75,107.01,392.99,-392.99
NVDA,2026-07-30,bear_call,195.04,225.36,0.778,110.07,389.93,-389.93
NVDA,2026-07-31,bear_call,200.74,225.16,0.821,112.71,387.29,-387.29
NVDA,2026-08-03,bull_put,206.72,225.1,0.857,122.43,377.57,122.43
NVDA,2026-08-04,bull_put,211.96,219.73,0.893,124.89,375.11,124.89
NVDA,2026-08-05,bull_put,219.16,217.58,0.889,125.11,374.89,125.11
NVDA,2026-08-06,bull_put,218.79,216.89,0.877,124.75,375.25,124.75
NVDA,2026-08-07,bull_put,223.93,214.74,0.81,121.16,378.84,121.16
NVDA,2026-08-10,bull_put,217.49,208.47,0.754,118.24,381.76,118.24
NVDA,2026-08-12,bull_put,224.11,209.77,0.722,115.92,384.08,-197.53
TSLA,2022-12-28,bear_call,112.72,123.52,0.726,146.93,353.07,-353.07
TSLA,2022-12-29,bear_call,121.82,122.42,0.742,149.28,350.72,149.28
TSLA,2022-12-30,bear_call,123.22,131.48,0.754,150.01,349.99,-59.89
TSLA,2023-01-03,bear_call,108.05,128.75,0.861,153.79,346.21,-346.21
TSLA,2023-01-04,bear_call,113.66,127.14,0.893,157.12,342.88,-342.88
TSLA,2023-01-05,bear_call,110.36,133.44,0.889,156.48,343.52,-343.52
TSLA,2023-01-06,bear_call,113.01,143.81,0.893,157.92,342.08,-342.08
TSLA,2023-01-09,bear_call,119.79,143.97,0.921,161.42,338.58,-338.58
TSLA,2023-01-10,bear_call,118.85,144.51,0.917,160.31,339.69,-339.69
TSLA,2023-01-11,bear_call,123.24,160.29,0.917,161.26,338.74,-338.74
TSLA,2023-01-12,bear_call,123.52,177.85,0.913,161.13,338.87,-338.87
TSLA,2023-01-13,bear_call,122.42,166.71,0.909,160.9,339.1,-339.1
TSLA,2023-01-17,bear_call,131.48,173.2,0.921,164.45,335.55,-335.55
TSLA,2023-01-18,bear_call,128.75,181.32,0.917,163.6,336.4,-336.4
TSLA,2023-01-19,bear_call,127.14,188.41,0.913,163.38,336.62,-336.62
TSLA,2023-01-20,bear_call,133.44,189.95,0.905,162.97,337.03,-337.03
TSLA,2023-01-23,bear_call,143.81,194.81,0.921,166.04,333.96,-333.96
TSLA,2023-01-24,bear_call,143.97,196.8,0.869,162.74,337.26,-337.26
TSLA,2023-01-25,bear_call,144.51,201.31,0.849,162.54,337.46,-337.46
TSLA,2023-01-26,bull_put,160.29,207.33,0.774,184.39,315.61,184.39
TSLA,2023-01-27,bull_put,177.85,196.82,0.833,191.98,308.02,191.98
TSLA,2023-01-30,bull_put,166.71,194.65,0.861,193.64,306.36,193.64
TSLA,2023-01-31,bull_put,173.2,209.27,0.869,194.61,305.39,194.61
